Year,FirstCountry,FirstRate,SecondCountry,SecondRate
1950,Poland,392,Czech-Republic,387
1951,Poland,392,Czech-Republic,387
1952,Poland,392,Czech-Republic,387
1953,Poland,392,Czech-Republic,387
1954,Poland,392,Czech-Republic,387
1955,United-Kingdom-Scotland,425,Hungary,376
1956,United-Kingdom-Scotland,425,Hungary,376
1957,United-Kingdom-Scotland,425,Hungary,376
1958,United-Kingdom-Scotland,425,Hungary,376
1959,United-Kingdom-Scotland,425,Hungary,376
1960,Poland,330,Czech-Republic,271
1961,Poland,330,Czech-Republic,271
1962,Poland,330,Czech-Republic,271
1963,Poland,330,Czech-Republic,271
1964,Poland,330,Czech-Republic,271
1965,South-Africa,362,South-Africa,362
1966,Trinidad-and-Tobago,575,South-Africa,362
1967,Trinidad-and-Tobago,575,South-Africa,362
1968,Trinidad-and-Tobago,575,South-Africa,362
1969,Trinidad-and-Tobago,575,South-Africa,362
1970,South-Africa,411,South-Africa,411
1971,South-Africa,411,South-Africa,411
1972,South-Africa,411,Trinidad-and-Tobago,381
1973,South-Africa,411,Trinidad-and-Tobago,381
1974,South-Africa,411,Trinidad-and-Tobago,381
1975,Seychelles,653,Belize,622
1976,Seychelles,653,Belize,622
1977,Seychelles,653,Belize,622
1978,Seychelles,653,Belize,622
1979,Seychelles,653,Belize,622
1980,Maldives,1234,Belize,588
1981,Maldives,1234,Belize,588
1982,Maldives,1234,Belize,588
1983,Maldives,1234,Belize,588
1984,Maldives,1234,Belize,588
1985,Maldives,960,Kazakhstan,676
1986,Maldives,960,Kazakhstan,676
1987,Maldives,960,Kazakhstan,676
1988,Maldives,960,Kazakhstan,676
1989,Maldives,960,Kazakhstan,676
1990,Cayman-Islands-United-Kingdom,660,Belize,588
1991,Cayman-Islands-United-Kingdom,660,Belize,588
1992,Cayman-Islands-United-Kingdom,660,Russian-Federation,487
1993,Cayman-Islands-United-Kingdom,660,Russian-Federation,487
1994,Cayman-Islands-United-Kingdom,660,Russian-Federation,487
1995,Russian-Federation,622,United-States-America,592
1996,Russian-Federation,622,United-States-America,592
1997,Russian-Federation,622,United-States-America,592
1998,Rwanda,1947,Russian-Federation,688
1999,Rwanda,1947,Russian-Federation,688
2000,Rwanda,1947,Maldives,793
2001,Rwanda,1947,Maldives,793
2002,Rwanda,1246,United-States-America,703
2003,Rwanda,1246,United-States-America,703
2004,Rwanda,941,United-States-America,725
2005,Rwanda,941,United-States-America,725
2006,Rwanda,837,United-States-America,752
2007,Rwanda,837,United-States-America,752
2008,United-States-America,755,Russian-Federation,622
2009,United-States-America,755,Palau,660
2010,United-States-America,731,Palau,660
2011,United-States-America,731,Russian-Federation,609
2012,United-States-America,707,St-Kitts-and-Nevis,678
2013,United-States-America,707,St-Kitts-and-Nevis,678
2014,Seychelles,837,United-States-America,693
2015,Seychelles,837,United-States-America,672
2016,Seychelles,837,United-States-America,655
2017,Seychelles,837,United-States-America,655
2018,United-States-America,655,El-Salvador,604